subregion,State, Code,Deaths,Population,Crude Rate
stephens, OK,40137,163,791477,20.5944
texas, OK,40139,43,366491,11.7329
tillman, OK,40141,23,149630,15.3712
tulsa, OK,40143,1973,10668444,18.4938
wagoner, OK,40145,214,1228060,17.4259
washington, OK,40147,129,905180,14.2513
washita, OK,40149,28,206669,13.5482
woods, OK,40151,20,159779,12.5173
woodward, OK,40153,41,356292,11.5074
baker, OR,41001,48,291981,16.4394
benton, OR,41003,107,1499531,7.1356
clackamas, OR,41005,754,6642147,11.3518
clatsop, OR,41007,149,660076,22.5732
columbia, OR,41009,107,857915,12.4721
coos, OR,41011,183,1133469,16.1451
crook, OR,41013,48,374206,12.8272
curry, OR,41015,67,398971,16.7932
deschutes, OR,41017,284,2664702,10.6579
douglas, OR,41019,257,1895664,13.5573
grant, OR,41023,17,133424,12.7413
harney, OR,41025,17,132156,12.8636
hood river, OR,41027,18,389532,4.6209
jackson, OR,41029,575,3569635,16.1081
jefferson, OR,41031,33,379225,8.702
josephine, OR,41033,232,1458502,15.9067
klamath, OR,41035,169,1179104,14.3329
lake, OR,41037,27,139061,19.4159
lane, OR,41039,989,6186533,15.9863
lincoln, OR,41041,175,821132,21.312
linn, OR,41043,281,2024937,13.877
malheur, OR,41045,55,559999,9.8214
marion, OR,41047,597,5543853,10.7687
morrow, OR,41049,11,200790,5.4784
multnomah, OR,41051,2678,12889109,20.7772
polk, OR,41053,114,1288801,8.8454
tillamook, OR,41057,75,450799,16.6371
umatilla, OR,41059,116,1337061,8.6757
union, OR,41061,55,453328,12.1325
wasco, OR,41065,42,443618,9.4676
washington, OR,41067,790,9199904,8.587
yamhill, OR,41071,167,1706667,9.7852
adams, PA,42001,166,1774356,9.3555
allegheny, PA,42003,4385,22337751,19.6304
armstrong, PA,42005,226,1256272,17.9897
beaver, PA,42007,533,3124695,17.0577
bedford, PA,42009,111,892127,12.4422
berks, PA,42011,864,7195736,12.0071
blair, PA,42013,395,2288424,17.2608
bradford, PA,42015,107,1121844,9.5379
bucks, PA,42017,1989,11117269,17.8911
butler, PA,42019,456,3263970,13.9707
cambria, PA,42021,621,2609512,23.7976
carbon, PA,42025,211,1130654,18.6618
centre, PA,42027,172,2685222,6.4054
chester, PA,42029,913,8655859,10.5478
clarion, PA,42031,60,725739,8.2674
clearfield, PA,42033,168,1476118,11.3812
clinton, PA,42035,78,698496,11.1668
columbia, PA,42037,113,1187836,9.5131
crawford, PA,42039,227,1599133,14.1952
cumberland, PA,42041,369,4135848,8.922
dauphin, PA,42043,539,4731133,11.3926
delaware, PA,42045,2119,10016288,21.1555
elk, PA,42047,68,590754,11.5107
erie, PA,42049,707,5029063,14.0583
fayette, PA,42051,470,2519470,18.6547
forest, PA,42053,15,122951,12.2
franklin, PA,42055,242,2576167,9.3938
fulton, PA,42057,39,262788,14.8409
greene, PA,42059,139,703048,19.7711
huntingdon, PA,42061,68,823522,8.2572
indiana, PA,42063,239,1594923,14.985
jefferson, PA,42065,91,813431,11.1872
juniata, PA,42067,35,433064,8.0819
lackawanna, PA,42069,710,3835161,18.5129
lancaster, PA,42071,913,9107957,10.0242
lawrence, PA,42073,297,1649661,18.0037
lebanon, PA,42075,185,2330840,7.9371
lehigh, PA,42077,858,6097790,14.0707
luzerne, PA,42079,1147,5730946,20.0141
lycoming, PA,42081,190,2111368,8.9989
mc kean, PA,42083,95,792192,11.992
mercer, PA,42085,352,2113163,16.6575
mifflin, PA,42087,101,837723,12.0565
monroe, PA,42089,418,2885466,14.4864
montgomery, PA,42091,1990,14182987,14.0309
montour, PA,42093,43,328988,13.0704
northampton, PA,42095,661,5192057,12.731
northumberland, PA,42097,200,1692182,11.8191
perry, PA,42099,79,810698,9.7447
philadelphia, PA,42101,7484,27374411,27.3394
pike, PA,42103,161,968203,16.6287
potter, PA,42105,31,318094,9.7455
schuylkill, PA,42107,449,2658044,16.8921
snyder, PA,42109,35,704027,4.9714
somerset, PA,42111,184,1406359,13.0834
susquehanna, PA,42115,109,767545,14.2011
tioga, PA,42117,46,752143,6.1159
union, PA,42119,37,791594,4.6741
venango, PA,42121,148,996847,14.8468
warren, PA,42123,60,756484,7.9314
washington, PA,42125,610,3710081,16.4417
wayne, PA,42127,148,911203,16.2423
westmoreland, PA,42129,1230,6572082,18.7155
wyoming, PA,42131,87,506212,17.1865
york, PA,42133,955,7522985,12.6944
bristol, RI,44001,112,907347,12.3437
kent, RI,44003,570,3008309,18.9475
newport, RI,44005,183,1508090,12.1346
providence, RI,44007,2051,11331376,18.1002
washington, RI,44009,283,2273202,12.4494
abbeville, SC,45001,32,461599,6.9324
aiken, SC,45003,434,2787119,15.5716
anderson, SC,45007,528,3260672,16.193
bamberg, SC,45009,25,287879,8.6842
barnwell, SC,45011,38,408180,9.3096
beaufort, SC,45013,203,2722733,7.4557
berkeley, SC,45015,312,3057469,10.2045
calhoun, SC,45017,12,272144,4.4094
charleston, SC,45019,760,6203904,12.2504
cherokee, SC,45021,130,981827,13.2406
chester, SC,45023,41,598140,6.8546
chesterfield, SC,45025,75,812948,9.2257
clarendon, SC,45027,45,609913,7.3781
colleton, SC,45029,85,691020,12.3007
darlington, SC,45031,125,1225281,10.2017
dillon, SC,45033,45,562894,7.9944
dorchester, SC,45035,192,2246493,8.5467
edgefield, SC,45037,22,468123,4.6996
fairfield, SC,45039,26,425120,6.1159
florence, SC,45041,198,2399893,8.2504
georgetown, SC,45043,115,1067758,10.7702
greenville, SC,45045,1209,7786713,15.5264
greenwood, SC,45047,118,1231253,9.5837
hampton, SC,45049,32,376728,8.4942
horry, SC,45051,763,4526574,16.856
jasper, SC,45053,42,426912,9.8381
kershaw, SC,45055,98,1056746,9.2738
lancaster, SC,45057,144,1300476,11.0729
laurens, SC,45059,186,1214559,15.3142
lexington, SC,45063,559,4484017,12.4665
marion, SC,45067,47,605077,7.7676
marlboro, SC,45069,37,512324,7.222
newberry, SC,45071,43,665949,6.457
oconee, SC,45073,250,1292626,19.3405
orangeburg, SC,45075,105,1645841,6.3797
pickens, SC,45077,421,2097733,20.0693
richland, SC,45079,589,6590581,8.937
saluda, SC,45081,24,351618,6.8256
spartanburg, SC,45083,845,4956462,17.0485
sumter, SC,45085,96,1916095,5.0102
union, SC,45087,61,521224,11.7032
williamsburg, SC,45089,39,626987,6.2202
york, SC,45091,455,3748655,12.1377
beadle, SD,46005,14,309176,4.5282
brookings, SD,46011,17,557048,3.0518
brown, SD,46013,35,655988,5.3355
codington, SD,46029,17,484734,3.5071
custer, SD,46033,13,143499,9.0593
davison, SD,46035,14,348171,4.021
fall river, SD,46047,25,127841,19.5555
hughes, SD,46065,11,304597,3.6113
lawrence, SD,46081,27,421412,6.407
lincoln, SD,46083,22,707989,3.1074
meade, SD,46093,34,458179,7.4207
minnehaha, SD,46099,215,2974218,7.2288
pennington, SD,46103,146,1762467,8.2838
roberts, SD,46109,11,181781,6.0512
shannon, SD,46113,24,241574,9.9348
todd, SD,46121,23,172152,13.3603
yankton, SD,46135,19,398819,4.7641
anderson, TN,47001,303,1325653,22.8567
bedford, TN,47003,99,772795,12.8106
benton, TN,47005,91,295502,30.7951
bledsoe, TN,47007,28,233571,11.9878
blount, TN,47009,382,2128421,17.9476
bradley, TN,47011,274,1729409,15.8436
campbell, TN,47013,219,723406,30.2735
cannon, TN,47015,49,241699,20.2731
carroll, TN,47017,90,517413,17.3942
carter, TN,47019,185,1029561,17.9688
cheatham, TN,47021,153,687472,22.2555
chester, TN,47023,32,298839,10.7081
claiborne, TN,47025,146,562260,25.9666
clay, TN,47027,50,141618,35.3062
cocke, TN,47029,125,627399,19.9235
coffee, TN,47031,155,927615,16.7095
crockett, TN,47033,27,261305,10.3328
cumberland, TN,47035,153,962388,15.898
davidson, TN,47037,1910,11072491,17.25
decatur, TN,47039,40,210338,19.017
dekalb, TN,47041,91,331509,27.4502
dickson, TN,47043,143,860111,16.6258
dyer, TN,47045,63,680493,9.258
fayette, TN,47047,60,637592,9.4104
fentress, TN,47049,77,314349,24.4951
franklin, TN,47051,121,731397,16.5437
gibson, TN,47053,106,878012,12.0727
giles, TN,47055,83,528179,15.7144
grainger, TN,47057,91,396362,22.9588
greene, TN,47059,227,1202156,18.8827
grundy, TN,47061,63,249810,25.2192
hamblen, TN,47063,257,1098858,23.3879
hamilton, TN,47065,786,5925427,13.2649
hancock, TN,47067,37,121241,30.5177
hardeman, TN,47069,39,490817,7.9459
hardin, TN,47071,124,464586,26.6904
hawkins, TN,47073,232,1002814,23.1349
haywood, TN,47075,27,341367,7.9094
henderson, TN,47077,94,486704,19.3136
henry, TN,47079,113,572298,19.745
hickman, TN,47081,72,429441,16.766
houston, TN,47083,31,147481,21.0197
humphreys, TN,47085,45,327413,13.7441
jackson, TN,47087,67,204760,32.7212
jefferson, TN,47089,156,888712,17.5535
johnson, TN,47091,43,323175,13.3055
knox, TN,47093,1684,7530932,22.3611
lake, TN,47095,11,140815,7.8117
lauderdale, TN,47097,61,494200,12.3432
lawrence, TN,47099,117,742725,15.7528
lewis, TN,47101,30,212283,14.1321
lincoln, TN,47103,73,586691,12.4427
loudon, TN,47105,168,825500,20.3513
mcminn, TN,47107,191,924490,20.66
mcnairy, TN,47109,81,458543,17.6646
macon, TN,47111,75,392318,19.1171
madison, TN,47113,146,1729147,8.4435
marion, TN,47115,66,505289,13.0618
marshall, TN,47117,103,528210,19.4998
maury, TN,47119,199,1403030,14.1836
meigs, TN,47121,48,206395,23.2564
monroe, TN,47123,134,772425,17.348
montgomery, TN,47125,318,2917778,10.8987
moore, TN,47127,11,110398,9.9639
morgan, TN,47129,91,380911,23.8901
obion, TN,47131,62,572339,10.8327
overton, TN,47133,103,384356,26.7981
perry, TN,47135,19,139239,13.6456
pickett, TN,47137,15,91072,16.4705
polk, TN,47139,55,297444,18.4909
putnam, TN,47141,198,1245839,15.8929
rhea, TN,47143,91,553174,16.4505
roane, TN,47145,276,956808,28.8459
robertson, TN,47147,140,1125405,12.44
rutherford, TN,47149,491,4354050,11.2769
scott, TN,47151,82,393310,20.8487
sequatchie, TN,47153,37,240013,15.4158
sevier, TN,47155,291,1528198,19.042
shelby, TN,47157,2033,16561741,12.2753
smith, TN,47159,90,336420,26.7523
stewart, TN,47161,33,233041,14.1606
sullivan, TN,47163,495,2792000,17.7292
sumner, TN,47165,337,2756798,12.2243
tipton, TN,47167,129,1039928,12.4047
trousdale, TN,47169,14,137548,10.1783
unicoi, TN,47171,77,323985,23.7665
union, TN,47173,87,338426,25.7072
van buren, TN,47175,12,99411,12.0711
warren, TN,47177,95,708225,13.4138
washington, TN,47179,361,2120191,17.0268
wayne, TN,47181,35,305216,11.4673
weakley, TN,47183,69,620384,11.1221
white, TN,47185,76,450712,16.8622
williamson, TN,47187,215,3049193,7.051
wilson, TN,47189,298,1944056,15.3288
anderson, TX,48001,163,1025638,15.8925
andrews, TX,48003,19,263002,7.2243
angelina, TX,48005,128,1519542,8.4236
aransas, TX,48007,94,423120,22.2159
archer, TX,48009,27,160016,16.8733
atascosa, TX,48013,61,787144,7.7495
austin, TX,48015,28,487026,5.7492
bandera, TX,48019,34,356058,9.549
bastrop, TX,48021,123,1267456,9.7045
baylor, TX,48023,14,68664,20.3891
bee, TX,48025,32,580495,5.5125
bell, TX,48027,341,5183156,6.579
bexar, TX,48029,3304,29420227,11.2304
blanco, TX,48031,20,178037,11.2336
bosque, TX,48035,28,320891,8.7257
bowie, TX,48037,121,1640077,7.3777
brazoria, TX,48039,527,5301448,9.9407
brazos, TX,48041,194,3289064,5.8983
brewster, TX,48043,25,162639,15.3715
brooks, TX,48047,13,134203,9.6868
brown, TX,48049,92,682816,13.4736
burleson, TX,48051,25,306412,8.1589
burnet, TX,48053,77,734305,10.4861
caldwell, TX,48055,45,664872,6.7682
calhoun, TX,48057,44,380712,11.5573
callahan, TX,48059,22,239284,9.1941
cameron, TX,48061,278,6933923,4.0093
camp, TX,48063,17,218016,7.7976
carson, TX,48065,13,113074,11.4969
cass, TX,48067,44,544265,8.0843
chambers, TX,48071,78,579111,13.4689
cherokee, TX,48073,91,889478,10.2307
childress, TX,48075,16,130189,12.2898
clay, TX,48077,20,195254,10.2431
collin, TX,48085,879,12841145,6.8452
colorado, TX,48089,24,371252,6.4646
comal, TX,48091,201,1826969,11.0018
comanche, TX,48093,18,247319,7.278
cooke, TX,48097,99,684409,14.465
coryell, TX,48099,59,1338213,4.4089
dallas, TX,48113,4268,42250638,10.1016
dawson, TX,48115,22,252291,8.7201
deaf smith, TX,48117,19,340202,5.5849
denton, TX,48121,790,10992761,7.1865
dewitt, TX,48123,20,364363,5.489
dimmit, TX,48127,11,184499,5.9621
duval, TX,48131,17,218895,7.7663
eastland, TX,48133,21,330816,6.3479
ector, TX,48135,307,2428529,12.6414
ellis, TX,48139,151,2502671,6.0336
el paso, TX,48141,1162,13732188,8.4619
erath, TX,48143,47,662646,7.0928
falls, TX,48145,22,321094,6.8516
fannin, TX,48147,52,595112,8.7379
fayette, TX,48149,27,428191,6.3056
fort bend, TX,48157,424,9528536,4.4498
franklin, TX,48159,10,185082,5.403
freestone, TX,48161,18,343372,5.2421
frio, TX,48163,13,309189,4.2045
gaines, TX,48165,25,301471,8.2927
galveston, TX,48167,780,5122702,15.2263
gillespie, TX,48171,25,425960,5.8691
goliad, TX,48175,10,129516,7.7211
gonzales, TX,48177,32,353188,9.0603
gray, TX,48179,45,405476,11.0981
grayson, TX,48181,274,2128650,12.872
gregg, TX,48183,177,2128761,8.3147
grimes, TX,48185,53,465307,11.3903
guadalupe, TX,48187,154,2153730,7.1504
hale, TX,48189,39,644685,6.0495
hamilton, TX,48193,14,149391,9.3714
hardin, TX,48199,136,943923,14.408
harris, TX,48201,6971,70743826,9.8539
harrison, TX,48203,87,1159349,7.5042
hays, TX,48209,198,2592000,7.6389
henderson, TX,48213,169,1392697,12.1347
hidalgo, TX,48215,419,12910286,3.2455
hill, TX,48217,52,616128,8.4398
hockley, TX,48219,34,414522,8.2022
hood, TX,48221,104,874944,11.8865
hopkins, TX,48223,54,614730,8.7843
houston, TX,48225,36,419118,8.5895
howard, TX,48227,70,623072,11.2347
hunt, TX,48231,162,1511245,10.7196
hutchinson, TX,48233,52,403097,12.9001
jack, TX,48237,15,160946,9.3199
jackson, TX,48239,16,256371,6.241
jasper, TX,48241,77,639682,12.0372
jefferson, TX,48245,556,4521113,12.2979
jim wells, TX,48249,66,730446,9.0356
johnson, TX,48251,219,2609421,8.3927
jones, TX,48253,22,363553,6.0514
karnes, TX,48255,13,271403,4.7899
kaufman, TX,48257,164,1702575,9.6325
kendall, TX,48259,41,564099,7.2682
kerr, TX,48265,99,860858,11.5002
kleberg, TX,48273,30,569787,5.2651
lamar, TX,48277,74,887294,8.34
lamb, TX,48279,25,255120,9.7993
lampasas, TX,48281,27,348751,7.7419
lavaca, TX,48285,14,347750,4.0259
lee, TX,48287,20,295102,6.7773
leon, TX,48289,33,294194,11.2171
liberty, TX,48291,217,1349638,16.0784
limestone, TX,48293,36,413818,8.6995
live oak, TX,48297,10,212475,4.7064
llano, TX,48299,58,336048,17.2594
lubbock, TX,48303,434,4850077,8.9483
mcculloch, TX,48307,10,147548,6.7775
mclennan, TX,48309,284,4122239,6.8895
madison, TX,48313,17,241666,7.0345
marion, TX,48315,24,192470,12.4695
matagorda, TX,48321,54,667140,8.0943
maverick, TX,48323,34,940450,3.6153
medina, TX,48325,36,797030,4.5168
midland, TX,48329,211,2408256,8.7615
milam, TX,48331,47,444236,10.58
montague, TX,48337,49,350738,13.9705
montgomery, TX,48339,906,7491529,12.0937
moore, TX,48341,18,379963,4.7373
morris, TX,48343,27,233271,11.5745
nacogdoches, TX,48347,112,1127472,9.9337
navarro, TX,48349,69,847004,8.1464
newton, TX,48351,46,261093,17.6182
nolan, TX,48353,33,272653,12.1033
nueces, TX,48355,933,6015109,15.5109
orange, TX,48361,346,1499458,23.075
palo pinto, TX,48363,57,497639,11.4541
panola, TX,48365,34,421093,8.0742
parker, TX,48367,214,1957174,10.9341
parmer, TX,48369,10,180716,5.5335
pecos, TX,48371,19,284902,6.669
polk, TX,48373,137,810337,16.9065
potter, TX,48375,268,2140509,12.5204
rains, TX,48379,23,190337,12.0838
randall, TX,48381,183,2096519,8.7288
reagan, TX,48383,10,60736,16.4647
red river, TX,48387,22,237347,9.2691
reeves, TX,48389,36,242689,14.8338
refugio, TX,48391,13,134838,9.6412
robertson, TX,48395,27,295553,9.1354
rockwall, TX,48397,78,1239034,6.2952
runnels, TX,48399,10,192698,5.1895
rusk, TX,48401,75,919256,8.1588
sabine, TX,48403,20,189115,10.5756
san augustine, TX,48405,19,159724,11.8955
san jacinto, TX,48407,67,456328,14.6824
san patricio, TX,48409,138,1197602,11.523
scurry, TX,48415,30,299572,10.0143
shelby, TX,48419,44,457606,9.6153
smith, TX,48423,331,3596838,9.2025
somervell, TX,48425,10,143219,6.9823
starr, TX,48427,20,1065233,1.8775
tarrant, TX,48439,2678,30922888,8.6603
taylor, TX,48441,237,2339293,10.1313
terry, TX,48445,12,227036,5.2855
titus, TX,48449,29,550115,5.2716
tom green, TX,48451,226,1962628,11.5152
travis, TX,48453,2021,17610849,11.4759
trinity, TX,48455,38,256724,14.8019
tyler, TX,48457,46,381984,12.0424
upshur, TX,48459,67,690654,9.701
uvalde, TX,48463,22,476118,4.6207
val verde, TX,48465,43,853672,5.0371
van zandt, TX,48467,125,927714,13.474
victoria, TX,48469,145,1562732,9.2786
walker, TX,48471,72,1190457,6.0481
waller, TX,48473,58,726751,7.9807
ward, TX,48475,17,193898,8.7675
washington, TX,48477,31,586679,5.284
webb, TX,48479,363,4227976,8.5857
wharton, TX,48481,42,740463,5.6721
wichita, TX,48485,372,2363211,15.7413
wilbarger, TX,48487,29,246544,11.7626
willacy, TX,48489,14,383180,3.6536
williamson, TX,48491,465,6856343,6.782
wilson, TX,48493,38,723682,5.2509
winkler, TX,48495,22,129141,17.0356
wise, TX,48497,97,1023375,9.4784
wood, TX,48499,89,731285,12.1704
yoakum, TX,48501,11,139417,7.89
young, TX,48503,67,326272,20.535
zapata, TX,48505,19,241342,7.8726
zavala, TX,48507,16,211728,7.5569
beaver, UT,49001,20,113321,17.649
box elder, UT,49003,129,855761,15.0743
cache, UT,49005,181,1910108,9.4759
carbon, UT,49007,150,369947,40.5463
davis, UT,49011,741,5185259,14.2905
duchesne, UT,49013,67,311011,21.5426
emery, UT,49015,52,191880,27.1003
grand, UT,49019,29,160978,18.0149
iron, UT,49021,137,758033,18.0731
juab, UT,49023,30,171910,17.451
kane, UT,49025,28,120707,23.1967
millard, UT,49027,31,222171,13.9532
morgan, UT,49029,17,160034,10.6227
salt lake, UT,49035,3794,17934788,21.1544
san juan, UT,49037,16,261004,6.1302
sanpete, UT,49039,76,468847,16.21
sevier, UT,49041,56,361423,15.4943
summit, UT,49043,78,630248,12.3761
tooele, UT,49045,191,956937,19.9595
uintah, UT,49047,81,553344,14.6383
utah, UT,49049,1247,8544325,14.5945
wasatch, UT,49051,52,392730,13.2406
washington, UT,49053,349,2277482,15.3239
weber, UT,49057,818,3971123,20.5987
addison, VT,50001,61,659157,9.2542
bennington, VT,50003,77,664032,11.5958
caledonia, VT,50005,52,552344,9.4144
chittenden, VT,50007,300,2776485,10.805
essex, VT,50009,17,114301,14.873
franklin, VT,50011,96,851896,11.269
grand isle, VT,50013,12,126729,9.469
lamoille, VT,50015,39,433717,8.992
orange, VT,50017,56,519511,10.7794
orleans, VT,50019,54,485285,11.1275
rutland, VT,50021,163,1115264,14.6154
washington, VT,50023,130,1061996,12.2411
windham, VT,50025,113,793844,14.2345
windsor, VT,50027,136,1022959,13.2948
accomack, VA,51001,64,628916,10.1762
albemarle, VA,51003,79,1703663,4.6371
alleghany, VA,51005,26,287446,9.0452
amelia, VA,51007,14,220281,6.3555
amherst, VA,51009,38,576804,6.588
appomattox, VA,51011,10,261372,3.826
arlington, VA,51013,199,3656669,5.4421
augusta, VA,51015,128,1280207,9.9984
bedford, VA,51019,112,1212553,9.2367
bland, VA,51021,26,122548,21.2162
botetourt, VA,51023,50,580588,8.612
buchanan, VA,51027,146,445629,32.7627
buckingham, VA,51029,13,298385,4.3568
campbell, VA,51031,67,962840,6.9586
caroline, VA,51033,41,477451,8.5873
carroll, VA,51035,57,534356,10.667
charles city, VA,51036,11,127689,8.6147
charlotte, VA,51037,13,224666,5.7864
chesterfield, VA,51041,465,5423445,8.5739
clarke, VA,51043,24,247370,9.7021
craig, VA,51045,13,92627,14.0348
culpeper, VA,51047,92,780609,11.7857
cumberland, VA,51049,13,172081,7.5546
dickenson, VA,51051,113,285497,39.5801
dinwiddie, VA,51053,26,480959,5.4059
essex, VA,51057,10,192339,5.1992
fairfax, VA,51059,929,18955449,4.901
fauquier, VA,51061,152,1136906,13.3696
floyd, VA,51063,24,267375,8.9762
fluvanna, VA,51065,20,436231,4.5847
franklin, VA,51067,120,957018,12.5389
frederick, VA,51069,163,1314902,12.3964
giles, VA,51071,52,304754,17.0629
gloucester, VA,51073,68,651569,10.4363
goochland, VA,51075,36,361743,9.9518
grayson, VA,51077,21,288916,7.2685
greene, VA,51079,19,317123,5.9914
halifax, VA,51083,41,652313,6.2853
hanover, VA,51085,129,1743999,7.3968
henrico, VA,51087,505,5317132,9.4976
henry, VA,51089,186,987678,18.832
isle of wight, VA,51093,39,604468,6.452
james city, VA,51095,67,1114408,6.0122
king george, VA,51099,36,390545,9.2179
king william, VA,51101,23,269525,8.5335
lancaster, VA,51103,14,204484,6.8465
lee, VA,51105,100,446989,22.3719
loudoun, VA,51107,257,5026800,5.1126
louisa, VA,51109,44,556600,7.9051
madison, VA,51113,18,234968,7.6606
mathews, VA,51115,14,162019,8.641
mecklenburg, VA,51117,43,580165,7.4117
middlesex, VA,51119,14,189630,7.3828
montgomery, VA,51121,157,1642219,9.5602
nelson, VA,51125,19,266299,7.1348
new kent, VA,51127,18,308031,5.8436
northampton, VA,51131,16,226055,7.0779
northumberland, VA,51133,13,222473,5.8434
nottoway, VA,51135,16,283572,5.6423
orange, VA,51137,77,564013,13.6522
page, VA,51139,59,427028,13.8164
patrick, VA,51141,47,336411,13.971
pittsylvania, VA,51143,101,1123918,8.9864
powhatan, VA,51145,29,476354,6.0879
prince edward, VA,51147,21,393815,5.3325
prince george, VA,51149,44,636931,6.9081
prince william, VA,51153,448,6709363,6.6772
pulaski, VA,51155,175,626082,27.9516
rappahannock, VA,51157,18,131639,13.6738
richmond, VA,51159,13,163550,7.9486
roanoke, VA,51161,166,1627582,10.1992
rockbridge, VA,51163,31,392905,7.8899
rockingham, VA,51165,67,1329341,5.0401
russell, VA,51167,162,516969,31.3365
scott, VA,51169,60,413189,14.5212
shenandoah, VA,51171,76,721283,10.5368
smyth, VA,51173,77,581140,13.2498
southampton, VA,51175,21,324192,6.4776
spotsylvania, VA,51177,187,2077470,9.0013
stafford, VA,51179,161,2176500,7.3972
surry, VA,51181,10,123724,8.0825
sussex, VA,51183,11,217355,5.0608
tazewell, VA,51185,235,794833,29.566
warren, VA,51187,91,648426,14.034
washington, VA,51191,125,962314,12.9895
westmoreland, VA,51193,37,308188,12.0057
wise, VA,51195,227,737950,30.7609
wythe, VA,51197,103,514605,20.0154
york, VA,51199,61,1141249,5.345
alexandria city, VA,51510,185,2468536,7.4943
bristol city, VA,51520,61,314363,19.4043
buena vista city, VA,51530,10,118298,8.4532
charlottesville city, VA,51540,55,775968,7.0879
chesapeake city, VA,51550,387,3921820,9.8679
colonial heights city, VA,51570,33,312698,10.5533
covington city, VA,51580,11,108204,10.166
danville city, VA,51590,102,803478,12.6948
fairfax city, VA,51600,44,402609,10.9287
falls church city, VA,51610,14,211876,6.6076
franklin city, VA,51620,12,151478,7.9219
fredericksburg city, VA,51630,54,425815,12.6816
galax city, VA,51640,11,123807,8.8848
hampton city, VA,51650,228,2513144,9.0723
harrisonburg city, VA,51660,43,843015,5.1007
hopewell city, VA,51670,47,402068,11.6896
lynchburg city, VA,51680,86,1302444,6.603
manassas city, VA,51683,63,677091,9.3045
manassas park city, VA,51685,10,237900,4.2034
martinsville city, VA,51690,47,256730,18.3072
newport news city, VA,51700,330,3276214,10.0726
norfolk city, VA,51710,510,4350733,11.7222
norton city, VA,51720,14,70667,19.8112
petersburg city, VA,51730,70,586079,11.9438
poquoson city, VA,51735,27,214557,12.5841
portsmouth city, VA,51740,246,1751084,14.0484
radford city, VA,51750,34,295749,11.4962
richmond city, VA,51760,668,3683905,18.1329
roanoke city, VA,51770,286,1731155,16.5208
salem city, VA,51775,63,446144,14.121
staunton city, VA,51790,59,430461,13.7062
suffolk city, VA,51800,91,1420674,6.4054
virginia beach city, VA,51810,748,7884843,9.4866
waynesboro city, VA,51820,51,372452,13.693
williamsburg city, VA,51830,20,240804,8.3055
winchester city, VA,51840,74,464050,15.9466
adams, WA,53001,14,319660,4.3797
asotin, WA,53003,67,383509,17.4703
benton, WA,53005,341,2998495,11.3724
chelan, WA,53007,180,1271894,14.1521
clallam, WA,53009,271,1251604,21.6522
clark, WA,53011,980,7327143,13.3749
columbia, WA,53013,10,71852,13.9175
cowlitz, WA,53015,399,1783519,22.3715
douglas, WA,53017,86,658295,13.0641
ferry, WA,53019,26,134800,19.2878
franklin, WA,53021,89,1253892,7.0979
grant, WA,53025,193,1517737,12.7163
grays harbor, WA,53027,278,1269141,21.9046
island, WA,53029,138,1393092,9.906
jefferson, WA,53031,79,519194,15.2159
king, WA,53033,4526,34070779,13.2841
kitsap, WA,53035,567,4434249,12.7868
kittitas, WA,53037,46,700394,6.5677
klickitat, WA,53039,37,359730,10.2855
lewis, WA,53041,221,1316674,16.7847
lincoln, WA,53043,24,186336,12.88
mason, WA,53045,197,1023687,19.2442
okanogan, WA,53047,113,722805,15.6335
pacific, WA,53049,78,376887,20.6959
pend oreille, WA,53051,40,226307,17.6751
pierce, WA,53053,2048,13949796,14.6812
san juan, WA,53055,30,275718,10.8807
skagit, WA,53057,323,2038872,15.8421
skamania, WA,53059,32,192045,16.6628
snohomish, WA,53061,1980,12381880,15.9911
spokane, WA,53063,1541,8198426,18.7963
stevens, WA,53065,117,761597,15.3625
thurston, WA,53067,510,4315381,11.8182
walla walla, WA,53071,135,1036841,13.0203
whatcom, WA,53073,431,3454702,12.4758
whitman, WA,53075,36,791186,4.5501
yakima, WA,53077,418,4240096,9.8583
barbour, WV,54001,29,290519,9.9821
berkeley, WV,54003,455,1736025,26.2093
boone, WV,54005,203,445816,45.5345
braxton, WV,54007,35,262198,13.3487
brooke, WV,54009,104,438595,23.7121
cabell, WV,54011,593,1729431,34.2887
calhoun, WV,54013,13,135549,9.5906
clay, WV,54015,31,173473,17.8702
doddridge, WV,54017,15,143021,10.488
fayette, WV,54019,215,831704,25.8505
grant, WV,54023,15,210236,7.1348
greenbrier, WV,54025,129,633250,20.3711
hampshire, WV,54027,90,406419,22.1446
hancock, WV,54029,151,560318,26.949
hardy, WV,54031,20,243369,8.218
harrison, WV,54033,243,1232640,19.7138
jackson, WV,54035,68,518541,13.1137
jefferson, WV,54037,186,906126,20.5269
kanawha, WV,54039,921,3485404,26.4245
lewis, WV,54041,29,297767,9.7392
lincoln, WV,54043,118,393192,30.0108
logan, WV,54045,258,655313,39.3705
mcdowell, WV,54047,253,416355,60.7655
marion, WV,54049,110,1015693,10.83
marshall, WV,54051,84,605867,13.8644
mason, WV,54053,116,481473,24.0927
mercer, WV,54055,454,1114532,40.7346
mineral, WV,54057,67,495665,13.5172
mingo, WV,54059,217,483271,44.9023
monongalia, WV,54061,170,1668691,10.1876
monroe, WV,54063,54,243948,22.1359
morgan, WV,54065,63,300883,20.9384
nicholas, WV,54067,114,470106,24.2499
ohio, WV,54069,110,808177,13.6109
pendleton, WV,54071,13,139862,9.2949
